community	medium	receiver	donor	compound	scs	mus	mps	smetana
BI__LA	Cellobiose	LA	BI	M_cpd01012_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01017_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01024_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01030_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01080_e0	0.0	0.0	1	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01092_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01155_e0	0.0	0.0	1	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01157_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01171_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01217_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01262_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01329_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01405_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01414_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01757_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01861_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01912_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01914_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd01947_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd03048_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd03198_e0	0.0	0.0	1	0.0
BI__LA	Cellobiose	LA	BI	M_cpd03279_e0	0.0	0.0	1	0.0
BI__LA	Cellobiose	LA	BI	M_cpd03343_e0	0.0	0.0	0	0.0
BI__LA	Cellobiose	LA	BI	M_cpd03424_e0	0.0	0.0	0	0.0
